Koreanisch,Deutsch
아내,Gattin
가족,Familie
놓다,setzen
놀다,spielen
향하다,zu etwas lehnen
관련,verwandt
형태,Form
각,jede
도시,Stadt
작업,arbeiten
분위기,Atmosphäre
그러하다,Es stimmt
자기,selbst
나이,Alter
우선,Erstens
믿다,Vertrauen
바꾸다,ändern
낳다,gebären
정보,Information
좋아하다,mögen
그리다,malen
만큼,so viel wie
배우다,lernen
역할,Rolle
옆,neben
행동,Aktion
어,Ja
국내,inländisch
비하다,Vergleichen
기관,Agentur
입장,Eingang
만하다,Wert sein
아래,unter
방식,Methode
영향,Wirkung
나서다,Start
흐르다,Fluss
깊다,tief
내,Mein
산,Berg
하지만,Aber
조건,Zustand
문,Tür
꽃,Blume
단계,Schritt
올리다,heben
그동안,Inzwischen
교사,Lehrer
갑자기,plötzlich
넘다,überschreiten
지니다,tragen
잘하다,Gut tun
마을,Stadt
대표,Vertreter
가능성,Wahrscheinlichkeit
방향,Richtung
대회,Wettbewerb
목소리,Stimme
노래,singen
바다,Ozean
힘들다,Es ist schwierig
공부,lernen
움직이다,Umzug
의원,Gesetzgeber
노력,Bemühung
전혀,überhaupt
언니,Schwester
단체,Organisation
분,Minute
알려지다,bekannt werden
가능하다,möglich
능력,Fähigkeit
주장하다,behaupten
자식,Kind
돌리다,drehen
불,Feuer
주민,Bürger
모으다,sammeln
자료,Daten
존재,Existenz
학년,Grad
신문,Zeitung
가지다,haben
이해하다,verstehen
제품,Produkt
분야,Feld
선생,Lehrer
돌아가다,zurückkehren
사업,Geschäft
행위,Gesetz
수준,eben
지난해,Letztes Jahr
표현,Ausdruck
기분,Stimmung
젊다,jung
동시,Die selbe Zeit
옷,Kleidung
순간,Moment
전쟁,Krieg
꿈,Traum
할머니,Oma
방송,übertragen
이야기하다,Sprechen
나무,Baum
자다,schlafen
연극,Theater
오늘,Heute
마찬가지,Ebenfalls
노동,Arbeit
이때,Zu diesem Zeitpunkt
가치,Wert
시간,Stunde
집단,Gruppe
현대,moderne Zeit
살펴보다,Ansehen
장관,Minister
차이,Unterschied
풀다,lösen
시절,Generation
물건,Sache
개인,Individuell
근데,Jedoch
발,Fuß
작가,Autor
효과,Wirkung
불교,Buddhismus
끌다,ziehen
대로,Straße
빨리,sich beeilen
시작되다,beginnen
둘,zwei
설명하다,erklären
우주,Universum
마치,wie
생산,Produktion
바라다,Hoffnung
강하다,stark
경험,Erfahrung
음악,Musik
최고,am besten
나타내다,Äußern
아프다,krank
고향,Heimatort
놀라다,überrascht
다양하다,Variiert
울다,weinen
농민,Bauer
드러나다,auftauchen
은행,Bank
지내다,bleiben
결혼,Hochzeit
동생,Bruder
소설,Roman
오후,Nachmittag
질서,Gesetz
담다,reintun
모이다,versammeln
시민,Bürger
회장,Vorsitzende
빠르다,schnell
아기,Baby
아저씨,Herr
옛날,Vor langer Zeit
이날,An diesem Tag
제대로,richtig
던지다,Wurf
공간,Raum
이곳,dieser Ort
딸,Tochter
마지막,zuletzt
벌이다,Verdienen
병원,Krankenhaus
자세,Haltung
강조하다,Betonen
경찰,Polizei
저녁,Abendessen
그러면,Dann
기자,Reporter
넓다,breit
시험,prüfen
잠,Schalf
주로,meistens
훨씬,viel mehr
통일,Einheit
들어서다,Eingeben
건강,Gesundheit
가깝다,schließen
건물,Gebäude
시설,Einrichtung
외국,fremdes Land
밑,Unterseite
어른,Erwachsene
주변,herum
대신,stattdessen
원인,Ursache
팔다,verkaufen
차례,Befehl
열심히,anstrengen
일하다,arbeiten
재산,Eigentum
팀,Team
부모,Eltern
언어,Sprache
요구하다,Anfrage
올라가다,Geh hinauf
첫,Erste
감독,Direktor
그날,dieser Tag
사실,Genau genommen
자주,oft
당하다,begegnen
삼다,machen
기간,Zeitraum
담배,Zigarette
일으키다,Heben
일단,Erste
할아버지,Großvater
조직,Gruppe
태어나다,tragen
공장,Fabrik
벌써,bereits
즐기다,genießen
지,ob
환자,geduldig
변하다,ändern
그래도,selbst wenn
아무리,egal wie
맞추다,Satz
쌀,Reis
일반,gemeinsam
재미있다,Es ist interessant
가르치다,unterrichten
대화,Gespräch
막다,hindern
올해,dieses Jahr
달리,Anders
버리다,wegwerfen
붙이다,einfügen
인물,Charakter
늘,stets
모두,jeden
전국,Landesweit
마치다,beenden
전,ehrmalig
다만,Aber
도움,Hilfe
걸다,Wette
멀다,weit
버스,Bus
오늘날,Heute
농업,Landwirtschaft
대다,setzen
식,Zeremonie
의견,Meinung
무대,Bühne
사진,Bild
주장,Meinung
표현하다,äußern
인하다,Übernehmen
이상하다,seltsam
제일,am meisten
붙다,passieren
아마,Vielleicht
얘기하다,sprechen
잇다,verbinden
조금,wenig
목적,Zweck
태도,Attitüde
남성,männlich
주위,herum
대책,Mittel
그만,stoppen
발생하다,passieren
재료,Zutat
결코,niemals
옮기다,Umzug
항상,stets
잃다,verlieren
자유,Freiheit
책임,Verantwortung
바뀌다,ändern
비슷하다,ähnlich
심하다,Schwer
경쟁,wetteifern
사랑하다,Liebe
여름,Sommer
자라다,wachsen
회,Folge
구체적,detailliert
기회,Gelegenheit
실시하다,Erzwingen
번째,Mal
소비자,Verbraucher
싫다,hassen
규모,Skala
기준,Standard
반드시,sicherlich
셈,zählen
갖추다,besitzen
그러니까,Deshalb
받아들이다,akzeptieren
값,Wert
현장,Grundstück
건설,Erektion
꺼내다,Mitnahme
노동자,Arbeiter
동네,Stadt
언제나,immer
완전히,vollständig
자동차,Automobil
전하다,vermitteln
존재하다,Existieren
개월,Monat
별로,nicht wirklich
어린이,Kinder
정하다,entscheiden
한마디,ein Wort
유지하다,pflegen
이데올로기,Ideologie
공부하다,lernen
대중,öffentlich
늘어나다,zunehmen
닦다,putzen
말씀,Wörter
괜찮다,Alles gut
눈물,Träne
각종,verschieden
빛,Licht
아니,NEIN
피하다,vermeiden
거치다,durchlaufen
나아가다,vorwärts gehen
야,Hey
지식,Wissen
현재,Heute
여전히,immer noch
주인,Meister
발견하다,Entdecken
선,Linie
인류,Menschheit
특징,Charakter
선수,Spieler
형식,Form
마련하다,vorbereiten
발표하다,bekannt geben
주제,Thema
걸치다,tragen
겪다,Erfahrung
관점,Aspekt
귀,Ohr
기본,Basis
미터,Meter
사라지다,verschwinden
어떠하다,Wie
감정,Emotion
기억,Erinnerung
놈,Kerl
인기,Popularität
아파트,Wohnung
가끔,Manchmal
구성,Komposition
술,Alkohol
실제로,Genau genommen
짧다,kurz
고맙다,Danke
그곳,Dort
보다,sehen
비롯하다,Stoppen
과연,In der Tat
들리다,hören
바쁘다,beschäftigt
이전,ehrmalig
인정하다,erkenne
중앙,Center
나쁘다,schlecht
불구하다,Trotz
시키다,jemanden tun lassen
게임,Spiel
국제,International
그룹,Gruppe
인생,Leben
전통,Tradition
기르다,pflegen
잔,Glas
조사하다,Untersuchen
커다랗다,Groß
시인,Dichter
외,außer
평가,Auswertung
내려오다,runtergehen
위치,Standort
줄이다,reduzieren
가격,Preis
달라지다,anders sein
비다,leer sein
삼국,Drei Königreiche
손님,Kunde
원하다,wollen
통신,Kommunikation
확인하다,überprüfen
모임,Klasse
아무,beliebig
웃음,lachen
기계,Maschine
모양,Form
물질,Gegenstand
아나운서,Ansager
뉴스,Nachricht
살아가다,leben
펴다,Ausbreitung
겨울,Winter
종교,Religion
층,Boden
자연스럽다,natürlich
돌다,drehen
식사,Mahlzeit
안다,wissen
잊다,vergessen
제시하다,Gegenwärtig
반,Hälfte
불과하다,Nur
혹은,oder
엄청나다,enorm
텔레비전,Fernsehen
파악하다,Ergreifen
실천,implementieren
노력하다,anstrengen
보호,schützen
씻다,waschen
한편,In der Zwischenzeit
이웃,Nachbar
편지,Brief
공동,öffentlich
까닭,Grund
방안,Mittel
센티미터,Zentimeter
분명하다,Offensichtlich
분석,analysieren
소녀,Mädchen
지나가다,Vorbeigehen
상품,Waren
설명,Erläuterung
훌륭하다,exzellent
관계자,Beamte
새로,Neu
이어지다,verbunden sein
티브이,Fernseher
봄,Frühling
종류,Typ
낮다,niedrig
어깨,Schulter
지적하다,Hinweisen
부부,Ehepaar
오래,lange Zeit
요구,Anfrage
키우다,wachsen
눕다,sich hinlegen
발달하다,entwickeln
발전하다,entwickeln
여행,reisen
죽음,Tod
고통,Schmerz
등장하다,erscheinen
공,Ball
듯이,Als ob
어울리다,verhalten
오월,Dürfen
알리다,informieren
멀리,weit
빼다,entfernen
예정,Termin
오빠,Bruder
즐겁다,spaßig
한계,Grenze
흔히,Oft
바탕,Hintergrund
사월,April
싸우다,Streit
언제,Wenn
예쁘다,hübsch
갈등,Konflikt
느껴지다,Fühlen
의지,Wille
전문,Spezialität
정확하다,Präzise
초기,Früh
나중,später
맛있다,lecker
며칠,ein paar Tage
신경,Nerv
찾아오다,besuchen
미,Reis
사용,Verwandt
시선,Sicht
아무런,Beliebig
언론,Drücken Sie
투자,investieren
지원,Unterstützung
결정하다,entscheiden
경영,Management
목표,Ziel
성장,Wachstum
숲,Wald
없어지다,Auslaufen
작년,letztes Jahr
내려가다,gehen
떠오르다,Fliege
새벽,Dämmerung
쓰레기,Müll
얼른,sich beeilen
피해,Schaden
무섭다,gruselig
직장,Firma
참다,durchhalten
크기,Größe
고기,Fleisch
남기다,verbleiben
서양,westlich
주요,hauptsächlich
가져오다,Bringen
냄새,Geruch
부드럽다,weich
여기다,gelten
공연,zeigen
남녀,Geschlecht
내놓다,herausgeben
떼다,entfernen
만들어지다,gemacht werden
속도,Geschwindigkeit
심각하다,Ernst
준비,Vorbereitung
계속되다,weitergemacht werden
구월,September
맑다,klar
소년,Junge
소식,Nachricht
유월,Juni
작용,Aktion
허리,Taille
골,Ziel
공업,Industrie
그중,darunter
노인,Alter Mann
벌다,Verdienen
살리다,speichern
영어,Englisch
출신,Heimat
결정,Entscheidung
경향,Tendenz
기록,aufzeichnen
나름,es hängt davon ab
대답하다,Antworten
반면,Andererseits
썰다,schneiden
움직임,Bewegung
이미지,Bild
터지다,Explodieren
특성,Eigenschaft
교장,Rektor
벗다,ausziehen
업무,arbeiten
입시,Aufnahmeprüfung
준비하다,vorbereiten
청소년,Teenager
돕다,Hilfe
응,Ja
이기다,gewinnen
찾아보다,suchen
다루다,Bewältigen
달,Mond
사장,CEO
삼월,März
그렇지만,Aber
선배,Senior
업체,Unternehmen
키,Schlüssel
국회,Kongress
그러므로,Deshalb
포함하다,enthalten
걱정,Sorge
결혼하다,Heiraten
만약,Wenn
세월,Zeit
숨,Atem
깨닫다,realisieren
누나,Schwester
왕,König
점점,Schrittweise
질문,Frage
특별,Speziell
판단,Beurteilung
해결하다,lösen
계속하다,Weitermachen
그치다,stoppen
근처,neben
너무나,zu
높이다,erhöhen
부정,Verweigerung
사정,Umstände
도대체,Warum
부모님,Eltern
수출,Export
그,Das
자르다,schneiden
데리다,begleitet werden
마리,Anzahl der Tiere
무척,sehr
비용,Kosten
비행기,Flugzeug
옳다,Rechts
원래,normalerweise
처리,Verfahren
최초,der erste
꼴,wie aussieht
놀이,spielen
뜨겁다,heiß
뿌리,Wurzel
그리하여,Deshalb
낮,Nachmittag
일찍,früh
직원,Mitarbeiter
찍다,fotografieren
가볍다,Licht
내부,Innere
다소,ein wenig
상대,Gegner
오전,Morgen
피부,Haut
가게,speichern
가득,voll
그저,Nur
벽,Wand
장군,Allgemein
무역,Handeln
부담,Last
약속,versprechen
줄,Linie
쳐다보다,anschauen
충분히,genug
신체,Körper
에너지,Energie
위원,Kommissar
정리하다,aufräumen
집안,Wohnung
배경,Hintergrund
죽이다,Töten
단순하다,einfach
반대,das Gegenteil
법칙,Regel
빠지다,fallen
소금,Salz
오염,Verschmutzung
자전거,Fahrrad
참여하다,teilnehmen
탓,Fehler
푸르다,Grün
그래,Stimmt
목,Nacken
발표,Präsentation
범죄,Verbrechen
흔들다,schütteln
기초,Basis
논리,Logik
드라마,Theater
뽑다,wählen
피우다,rauchen
감각,Sinn
미리,vorher
부족하다,Mangel
저희,Wir
진행되다,Fortfahren
교통,Verkehr
법,Gesetz
오랜,lange Zeit
젊은이,Junge Leute
후보,Kandidat
과제,Abtretung
근거,Grund
기록하다,Aufzeichnen
다가오다,näher kommen
불다,blasen
이끌다,führen
종합,gesamte
한글,Koreanisch
가을,Herbst
개발하다,Entwickeln
떨다,Schauer
손가락,Finger
수단,Methode
자유롭다,frei
적극적,aktiv
판매,Verkauf
형성,Formation
기울이다,Neigung
길이,Länge
